"";"Glazing_Residential Facade";"Glazing_Residential Facade_East";"Glazing_Residential Facade_Penthouse_350mm";"LV05 Shear Wall Make-up Panel";"Glazing_Residential Facade_Podium_350mm";"Curtain Wall 1";"Glazing_Facade_Podium_270mm";"Glazing_Plant Louvre";"Glazing_10.0mm Face";"Corner Column Cladding";"Blockwork_Core Filled_190mm";"Concrete_Cast Insitu_150mm";"Glazing_Residential Facade_East_300mm";"Glazing_6.0mm Centre";"L8c - STUD LINING IMPACT";"PF10c/F120 - FIRE RATED STUD PARTITION";"P10d - STUD PARTITION IMPACT / FC";"P8c - STUD PARTITION IMPACT 2 SIDES";"P18c/A45 - STUD PARTITION ACOUSTIC FC 1 SIDE";"IWS-301_RW35_Internal Glazing_Sapphire Maxline 116x45";"L8a/T1.0 - STUD LINING";"P5c/A45* - STUD PARTITION FC 2 SIDES";"Brick veneer facade";"Screen";"P15c/A45 - STUD PARTITION IMPACT 1 SIDE";"Concrete_200mm";"P4c - STUD PARTITION FC 1 SIDE";"Glazing_Sapphire Maxline 116x45";"Concrete_250mm";"Concrete_190mm";"Concrete_150mm";"Glazing_Commercial Suite_Roof Pavilion";"L16c/A45* - STUD LINING ACOUSTIC";"P10c - STUD PARTITION IMPACT / FC";"L10d/A45* - STUD LINING FC";"L7a - BATTEN LINING IMPACT";"P55 - STAGGERED STUD PARTITION";"L8d - STUD LINING IMPACT";"Concrete_300mm";"L10d/A35* - STUD LINING FC";"P5d/A40 - STUD PARTITION FC 2 SIDES";"IWS-302_RW45_Internal Glazing_Sapphire Maxline 116x45";"P1d/A40 - STUD PARTITION";"L12d/A45* - STUD LINING";"L10d/A40* - STUD LINING FC";"L10d - STUD LINING FC";"P10c/A45* - STUD PARTITION IMPACT / FC";"P74c/A55 - DOUBLE STUD PARTITION  IMPACT 2 SIDES";"P5c - STUD PARTITION FC 2 SIDES";"IWS-302_RW40_Internal Glazing_Sapphire Maxline 116x45";"ILS-401 - TILE FINISH";"L9a - BATTEN LINING FC";"L5# - DIRECT FIX FIRE RATED LINING";"P8d/A40 - STUD PARTITION IMPACT 2 SIDES";"LF21d/F120 - FIRE RATED STUD LINING";"L8c/A45* - STUD LINING IMPACT";"LF21c/F120 - FIRE RATED STUD LINING";"LB2 - 18mm PLYWOOD STUD LINING";"P4e/A40 - STUD PARTITION FC 1 SIDE";"L1a - BATTEN LINING";"L12c/A40 - STUD LINING";"18_toilet partition";"L12d - STUD LINING";"L8d/A45* - STUD LINING IMPACT";"BAL - 107_WALKWAY";"CLD-501 - 18mm PLYWOOD BATTEN LINING";"Bulkhead Wall_50mm";"L2c/A45* - STUD LINING";"CLD-xxx - Pinboard";"GLASS WALL";"Concrete_400mm";"L2d - STUD LINING";"CLD-401 - CERAMIC CLADDING";"JOI-xxx_STEM ART SPACE JOINERY 300D";"AUDITORIUM BATTENS";"JOI-xxx_ THEATRE BAND CURVED";"CON_Concrete Retaining Wall_350mm";"EXT WALL_FCDT-204  FC FACADE MORTARY BUILDING & L2 PODIUM";"EXT WALL_FCDT-00XX FC FACADE PODIUM WITH INTEGRATED FINS";"CON_Concrete Wall_350mm_F120";"EXT WALL_FCDT-501_METAL CLADDING (25MM/70MMCAVITY/6MM T.B/6MM RAB";"BLBL-101 - BLOCK WALL_Core Filled_FRL";"EXTERNAL WALL_FRAME_150MM STUD/10MM TOLERANCE";"EXT WALL_FCDT-104 BRICK";"EXT WALL_FCDT-105 BRICK LARGER CAVITY";"EXT WALL_FCDT-101 BRICK FEATURE PATTERN";"CON_Concrete Wall_250mm_F120";"CON_Concrete Wall_300mm_FRL 120";"P7d/A35 - STUD PARTITION IMPACT 1 SIDE";"PF10d/F120/A50 - FIRE RATED STUD PARTITION";"PF10d/F120 - FIRE RATED STUD PARTITION";"P16d/A50 - STUD PARTITION ACOUSTIC";"P11d/A45 - STUD PARTITION";"P7d - STUD PARTITION IMPACT 1 SIDE";"P2d/A40 - STUD PARTITION WET 1 SIDE";"BLBL-101 - BLOCK WALL_Core Filled";"P15d/A45 - STUD PARTITION IMPACT 1 SIDE";"P1d/A35 - STUD PARTITION";"P8d - STUD PARTITION IMPACT 2 SIDES";"CON_Concrete Wall_200mm_F120";"EXTERNAL WALL_FRAME FIRE RATED 150MM STUD";"L1c - BATTEN LINING";"LF35/F120 - FIRE RATED SHAFT WALL";"P12d/A45 - STUD PARTITION WET 1 SIDE";"P12d/A40 - STUD PARTITION WET 1 SIDE";"L2b - STUD LINING";"STRUCTURE_1200 Wide Concrete";"P61d - DOUBLE STUD PARTITION";"EXT WALL_FCDT-201 FC FACADE L3-L7";"LXX - STUD LINING - EXTERNAL WALL";"L8d/A35* - STUD LINING IMPACT";"P7d/A40 - STUD PARTITION IMPACT 1 SIDE";"EXTERNAL WINDOW WALL_FCDT-300 SYSTEM - SPINE";"L2d/A40* - STUD LINING";"L2d/A35* - STUD LINING";"P1d - STUD PARTITION";"P9d - STUD PARTITION IMPACT / WET";"BLBL-102 - BLOCK WALL_Core Filled";"CON_Concrete Wall_300mm";"EXT WALL_FCDT-102 BRICK VERTICAL COURSING TOP BAND";"EXT WALL_FCDT-106 BRICK VERTICAL COURSING TOP BAND top cavity";"CON_Concrete Shear Wall_200mm";"P9d/A40 - STUD PARTITION IMPACT / WET";"P2d/A35 - STUD PARTITION WET 1 SIDE";"L4d - STUD LINING WET";"L7c - BATTEN LINING IMPACT";"L8b - STUD LINING IMPACT";"L4d/A40* - STUD LINING WET";"P2d - STUD PARTITION WET 1 SIDE";"P3d/A40 - STUD PARTITION WET 2 SIDES";"L4b - STUD LINING WET";"P9d/A35 - STUD PARTITION IMPACT / WET";"L4d/A35* - STUD LINING WET";"P13d/A45 - STUD PARTITION WET 2 SIDES";"PF27a/F120/A55 - FIRE RATED STAGGERED STUD PARTITION";"L3c - BATTEN LINING WET";"P16d/A55 - STUD PARTITION ACOUSTIC";"Existing_120mm";"EXT_GLAZING_FCDT-400_6.0mm Centre";"L2d/A45* - STUD LINING";"L8d/A40* - STUD LINING IMPACT";"P8d/A35 - STUD PARTITION IMPACT 2 SIDES";"PF10d/F120/A45 - FIRE RATED STUD PARTITION";"LF9# - DIRECT FIX FIRE RATED LINING";"CON_Concrete Wall_225mm";"Concrete_Cast Insitu_Structural Upstand";"Feature Wall Colour";"L2 Lift Core Feature Wall 4";"L2 Lift Core Feature Wall 1";"L2 Lift Core Feature Wall Skirt";"EXTERNAL_FC FACADE L3-L7 HIGHLIGHTS - DO NOT TAG";"EXTERNAL_PODIUM SCREEN_SCRN-401";"Walls 3";"EXT WALL_FCDT-303 FC SPANDRAL MAIN ENTRANCE SPINE";"EXT WALL_FCDT-201";"EXTERNAL_PODIUM SCREEN_SCRN-402";"EXTERNAL_PODIUM SCREEN_TS";"EXT WALL_FCDT-103 RECESSED BRICK";"L2 Lift Core Feature Wall White";"INTERNAL_Plant Room Mesh Wall";"LF9a - FIRE RATED BATTEN LINING";"LAMINATE SPLASHBACK BASIN TYPE B";"CON_Concrete Wall_150mm";"EXTERNAL_Chain Wire Mesh Fence_unconstrained";"Brickwork_Single_110mm";"L15 - PLANT FACADE LINING";"P7e/A35 - STUD PARTITION IMPACT 1 SIDE";"Curtain Wall - Spine_see Brett_no grids";"L1# - DIRECT FIX LINING";"Brickwork_120mm";"P11d/A40 - STUD PARTITION";"L4d/A45* - STUD LINING WET";"P12d/A35 - STUD PARTITION WET 1 SIDE";"EXTERNAL_PODIUM SCREEN_BSBS-110";"L12e/A45* - STUD LINING";"B1d/V1 - BLOCK WALL";"Concrete_Cast Insitu_250mm";"P61d/A45 - DOUBLE STUD PARTITION";"Charred Timber_1200mm Intervals";"EWS-103 - 110mm";"EWS-101A - Charred Timber";"P1e/A35 - STUD PARTITION";"STR_600 - SHOARING WALL";"Charred Timber_100x70_600mm Intervals";"P21e/A45 - STUD PARTITION";"EWS-103 - 600mm - Flemish Bond";"EWS-140 - GLAZING SYSTEM 2000Centres";"EWS-105 - GLAZING SYSTEM";"WIN - 101 - GLAZING SYSTEM";"PM4/A35 - STUD PARTITION";"Partition Type 1 - P1d/XX";"P21d/A50 - STUD PARTITION";"P3d - STUD PARTITION WET 2 SIDES";"P12e/A45 - STUD PARTITION WET 1 SIDE";"P22e/A45 - STUD PARTITION WET 1 SIDE";"P11e/A45 - STUD PARTITION";"PF11d/F120/A50 - FIRE RATED STUD PARTITION WET 1 SIDE";"P22d/A50 - STUD PARTITION WET 1 SIDE";"Charred Timber_600mm Intervals";"Charred Timber_600mm Intervals - Corners";"EWS - 110 - Charred Timber_600mm Intervals";"P1e/A40 - STUD PARTITION";"Concrete - 300mm";"L2d/T1.5 - STUD LINING";"LB1# - 18mm OSB BATTEN LINING";"L2b/35* - STUD LINING";"EWS-103 - PERFORATED BRICK CURTAIN WALL - FLEMISH";"EWS-103 - PERFORATED BRICK CURTAIN WALL";"EWS-103 - 600mm - Stretcher Bond";"EWS - 141 - 380mm - TPZ - Windows Seat";"EWS-130 - Charred Timber_100x70_600mm Intervals_Temp-Test 2";"01_Facade GLASS BEHIND TIMBER FIN 1500 Intervals";"LB3# - 18mm PLYWOOD BATTEN LINING";"Concrete_Cast Insitu_200mm";"EWS-103 - 300mm - Flemish Bond";"P11d/A35 - STUD PARTITION";"LB5 - 18mm PERF. PLYWOOD BATTEN LINING";"LB5b - 18mm PERF. PLYWOOD BATTEN LINING";"LB2d/T1.5 - 18mm OSB STUD LINING";"LB6d/T1.5 - 18mm PERF. PLY STUD LINING";"LF1b - FIRE RATED BATTEN LINING";"L3b - BATTEN LINING WET";"L1b - BATTEN LINING";"L2d/A50* - STUD LINING";"LB7a - 18mm GALVANISED BATTEN LINING";"Concrete_Cast Insitu_300mm";"Charred Timber_100x70_600mm Intervals_Temp-Test";"LB3b - 18mm PLYWOOD BATTEN LINING";"LB4d/T1.5 - 18mm PLY STUD LINING";"L2e/A40* - STUD LINING";"EWS - 142 - 740mm - TPZ - Bulkhead";"LB1b - 18mm OSB BATTEN LINING";"LB8 - 18mm PVC RENDERED LINING";"LB3d - 18mm PLYWOOD BATTEN LINING";"LB7 - 18mm GALVANISED BATTEN LINING";"P1a - STUD PARTITION";"STR_300 - RETAINING WALL";"L4d/A45* - STUD LINING";"Concretet_150mm"
"Glazing_Residential Facade";0;5;10;23;7;22;15;14;13;23;21;21;5;14;21;32;28;27;34;41;22;27;15;22;29;21;24;19;21;21;21;24;26;28;23;21;26;21;21;23;26;41;23;23;23;20;30;36;25;41;20;20;28;29;30;23;30;23;25;21;23;22;21;23;21;27;23;23;20;21;21;21;23;30;22;24;22;45;45;20;40;28;24;23;28;29;20;21;28;35;32;27;24;26;27;25;29;23;27;20;25;21;25;28;28;21;23;25;24;26;23;28;34;23;23;23;27;25;21;37;46;20;28;27;22;22;21;24;25;28;22;28;24;29;43;22;27;22;20;23;23;29;35;28;21;30;22;21;21;21;41;27;24;37;23;27;24;27;20;24;24;24;21;34;21;22;28;27;21;24;24;24;28;27;23;23;21;27;22;24;25;23;22;27;24;23;26;23;24;23;23;24;26;28;28;24;41;28;22;25;31;23;21;23;21;22;37;29;24;30;43;38;25;21;23;24;29;30;26;31;25;22;21;23;26;21;33;25;26;23;26;21;22;25;26;22;22;23;21
"Glazing_Residential Facade_East";5;0;7;25;6;26;18;19;18;26;26;23;0;19;25;32;28;29;35;41;27;29;20;27;30;26;26;20;26;26;26;24;28;28;27;24;28;25;26;27;28;41;26;28;27;25;30;37;27;41;24;25;28;30;31;27;31;28;27;26;28;25;26;27;26;28;27;28;25;26;26;26;25;30;24;26;25;46;44;25;40;29;28;28;27;27;25;24;29;35;32;29;27;28;29;28;30;26;29;25;24;26;25;30;30;26;26;27;23;25;27;29;34;28;28;26;27;28;25;36;44;24;28;29;24;24;25;26;28;30;24;28;26;31;42;24;29;27;24;28;27;30;35;28;25;30;26;24;24;25;39;29;29;36;25;29;24;28;25;26;27;25;25;35;26;21;29;28;24;28;27;26;30;28;28;27;23;29;24;29;29;26;27;28;27;28;28;27;25;26;27;27;29;30;30;27;43;30;24;26;31;26;25;28;26;27;36;30;27;28;43;36;28;23;28;27;29;30;29;31;27;24;26;28;27;23;33;28;29;28;27;26;27;28;27;25;26;28;25
"Glazing_Residential Facade_Penthouse_350mm";10;7;0;28;7;31;19;23;23;30;30;26;7;22;30;32;32;31;35;41;30;32;25;31;33;31;30;23;31;31;31;25;31;32;31;29;29;30;31;31;31;41;29;31;31;29;34;38;30;41;27;30;30;32;32;32;32;30;31;30;31;28;29;32;31;30;32;31;29;31;31;29;29;31;28;29;29;45;42;30;40;32;30;30;32;29;30;29;32;35;32;31;30;31;30;31;33;29;31;30;27;30;29;31;31;29;28;29;27;30;32;32;34;31;31;29;31;31;30;38;45;29;32;30;28;29;30;30;30;31;28;32;30;32;42;28;31;31;25;31;32;32;35;30;30;33;29;27;27;29;40;30;34;36;29;30;27;30;27;27;29;27;30;34;31;23;32;29;27;32;30;30;31;30;30;32;26;30;28;34;31;29;32;29;30;31;31;31;29;29;29;30;31;31;31;30;42;31;28;31;33;29;30;30;29;30;37;32;31;33;44;37;30;26;31;30;31;32;31;33;29;28;30;31;29;26;34;30;31;30;32;29;29;30;29;28;31;31;30
"LV05 Shear Wall Make-up Panel";23;25;28;0;26;22;21;22;21;23;21;22;25;22;20;28;26;27;37;41;21;29;20;21;31;22;25;23;22;22;22;28;28;26;23;22;24;20;22;23;28;41;23;21;23;20;30;38;25;42;21;22;26;30;26;24;26;22;28;20;20;21;20;24;21;26;21;21;23;23;22;20;22;27;22;22;21;44;43;21;40;26;25;21;28;26;21;22;30;31;28;29;23;27;28;24;31;23;27;21;26;20;22;29;29;20;25;24;25;23;24;30;33;21;21;21;26;24;21;38;46;21;29;28;20;22;20;23;25;28;20;29;23;29;40;21;29;23;26;21;24;30;31;27;21;31;21;22;22;22;41;27;23;34;21;27;24;24;22;23;23;25;21;34;21;19;30;30;21;23;23;23;29;28;21;23;22;26;23;22;22;23;21;27;23;22;30;22;22;23;23;23;25;29;29;23;40;29;23;27;29;23;22;21;20;21;36;28;23;27;43;39;24;22;22;23;26;27;22;26;23;21;20;21;26;22;34;24;22;21;24;20;21;24;25;21;21;21;22
"Glazing_Residential Facade_Podium_350mm";7;6;7;26;0;28;12;21;20;26;27;24;6;21;27;32;30;29;35;41;27;29;22;29;30;28;27;20;28;28;28;23;29;30;29;27;29;27;28;29;28;41;27;28;29;27;32;37;27;41;25;27;27;30;30;29;30;27;28;27;28;26;26;29;28;27;29;28;27;28;28;26;25;31;27;26;27;40;40;27;40;31;30;28;28;28;27;26;29;35;32;30;28;28;29;28;30;27;29;27;25;27;27;30;30;26;28;28;24;28;29;29;34;28;28;27;29;28;27;36;45;26;30;29;27;27;27;29;29;30;27;30;29;31;42;27;30;29;26;28;29;30;35;27;27;31;26;26;26;25;39;29;31;36;27;29;27;28;25;26;26;25;27;35;28;20;29;27;24;29;28;29;30;29;27;29;24;30;27;31;29;27;29;30;28;29;31;28;26;27;26;28;29;30;30;28;43;30;27;29;34;27;27;27;26;27;37;30;28;31;45;38;27;24;29;28;28;29;28;30;26;27;27;28;26;24;35;27;28;27;30;26;26;27;26;26;28;28;28
"Curtain Wall 1";22;26;31;22;28;0;18;17;13;18;18;14;26;14;19;33;26;27;35;45;19;28;17;8;30;9;21;25;9;9;9;32;27;25;22;22;26;20;9;22;28;45;21;20;22;17;30;40;23;45;18;18;29;32;31;24;30;23;26;16;18;16;15;25;16;28;8;18;15;8;9;14;22;29;14;24;17;45;46;14;40;29;28;17;29;31;14;16;30;38;34;28;22;26;27;26;31;21;28;14;27;15;26;28;28;14;23;24;26;24;25;30;34;19;19;17;26;26;11;38;49;16;30;27;17;21;20;22;23;29;17;30;22;30;47;18;28;8;25;19;25;32;38;30;11;31;12;18;17;22;43;25;9;38;12;26;20;25;22;20;26;26;11;38;12;21;30;26;19;9;22;22;28;25;20;14;14;28;20;9;22;21;15;27;22;23;31;20;22;21;18;22;25;28;28;22;45;28;20;28;32;21;8;19;22;18;36;29;24;29;47;41;26;14;23;22;30;31;25;30;26;19;16;19;28;14;36;26;25;19;27;22;22;26;27;17;15;19;9
"Glazing_Facade_Podium_270mm";15;18;19;21;12;18;0;10;12;19;17;17;18;12;22;31;29;29;38;41;18;31;18;19;33;18;26;19;18;18;18;24;28;29;23;22;26;22;18;23;30;41;20;20;23;19;33;40;27;41;16;19;27;33;28;25;28;22;29;16;19;19;16;25;19;26;18;19;18;17;18;16;19;29;20;22;20;39;38;18;38;27;25;19;27;28;18;21;32;34;31;29;21;28;29;24;33;20;29;18;24;16;24;30;30;16;23;24;22;25;25;32;32;19;19;19;29;24;18;40;48;18;32;29;20;22;22;23;26;30;20;32;23;31;43;20;29;19;20;19;25;33;34;28;18;32;16;19;19;20;38;26;20;39;17;26;22;24;20;20;23;24;18;36;19;15;32;27;20;18;21;23;30;26;20;19;17;26;22;20;20;20;20;28;21;23;27;20;22;20;20;21;27;30;30;21;44;30;22;29;31;20;18;19;20;18;38;29;25;30;46;40;24;17;23;21;28;29;24;29;24;20;16;19;24;17;36;24;24;19;26;20;20;24;23;18;19;19;18
"Glazing_Plant Louvre";14;19;23;22;21;17;10;0;10;19;19;17;19;9;21;33;29;28;36;41;18;30;17;19;32;17;25;19;17;17;17;25;25;29;23;22;27;21;17;23;29;41;22;20;23;19;33;39;26;41;18;19;29;32;30;24;30;20;28;16;19;17;16;24;17;24;18;19;16;16;17;16;21;29;19;23;21;46;45;19;37;27;24;19;29;30;19;20;31;36;33;27;23;27;28;23;32;22;28;19;26;16;26;29;29;16;23;25;26;24;24;31;33;19;19;19;28;23;17;40;46;18;31;28;19;22;21;22;25;29;19;31;22;30;45;19;27;18;19;19;24;32;36;30;17;32;14;19;19;22;41;26;19;38;18;26;21;26;22;15;24;23;17;35;17;18;31;27;20;17;23;22;29;27;20;17;17;27;21;19;22;22;19;27;23;23;25;19;21;22;21;23;26;29;29;23;45;29;21;28;32;22;18;19;20;18;38;30;24;28;47;39;22;17;23;23;27;28;24;28;25;19;16;19;24;17;35;22;22;19;24;20;21;22;23;18;18;19;18
"Glazing_10.0mm Face";13;18;23;21;20;13;12;10;0;20;16;18;18;7;19;33;29;30;38;42;19;30;14;15;33;14;25;20;14;14;14;27;27;29;23;21;26;19;14;23;29;42;20;20;23;19;33;41;26;42;17;19;28;33;29;24;29;23;28;17;19;17;16;24;13;27;15;19;15;12;14;16;22;30;15;23;20;47;46;16;39;28;26;15;28;29;16;19;32;37;33;29;21;29;30;24;33;20;30;16;26;18;24;31;31;16;22;25;23;23;24;32;33;19;19;19;28;24;14;39;49;16;31;30;19;21;19;22;26;31;19;31;22;32;46;20;29;14;18;19;24;33;37;29;14;33;14;17;17;21;42;27;15;39;15;27;21;23;21;21;25;25;14;36;15;20;32;30;20;15;21;22;31;27;20;15;18;28;21;13;22;20;17;25;21;22;25;18;20;20;20;21;27;31;31;21;47;31;21;29;33;20;14;20;21;19;40;31;23;30;46;38;25;18;22;21;29;30;26;31;26;20;18;19;26;18;34;25;26;19;26;21;23;25;25;18;18;19;15
"Corner Column Cladding";23;26;30;23;26;18;19;19;20;0;18;17;26;20;22;32;29;29;36;43;18;29;18;19;33;18;24;27;18;18;18;29;26;28;22;22;26;22;18;22;29;43;21;19;22;18;32;39;25;43;20;18;26;33;28;24;27;20;28;15;18;19;15;25;19;25;19;17;18;20;18;15;13;29;17;24;15;42;41;16;37;27;25;20;27;30;16;18;32;37;33;29;22;29;30;24;33;21;30;16;25;15;26;31;31;15;23;23;25;25;25;32;33;18;18;19;29;24;14;36;45;16;32;30;19;22;22;22;27;31;19;32;22;32;46;19;29;18;27;18;25;33;37;27;14;29;19;20;20;23;38;23;21;35;20;23;18;24;23;21;24;26;14;34;18;19;32;28;18;20;22;22;31;23;19;19;17;27;20;20;23;21;17;25;22;23;31;22;21;21;21;22;28;31;31;22;47;31;20;28;32;21;17;18;19;17;36;28;24;30;47;41;23;17;23;22;26;27;22;27;24;19;15;18;25;17;35;23;22;18;27;19;20;23;24;19;17;18;18
"Blockwork_Core Filled_190mm";21;26;30;21;27;18;17;19;16;18;0;17;26;17;21;32;30;30;36;45;19;31;15;17;34;15;25;25;15;15;15;29;28;29;23;24;26;22;15;23;30;45;21;20;23;20;34;41;26;45;15;21;28;34;30;25;29;20;29;18;18;18;17;26;18;25;18;18;18;19;15;17;20;29;18;22;18;43;44;17;42;17;27;20;26;27;17;18;34;37;33;31;22;30;30;13;35;21;30;17;25;17;24;31;31;17;23;24;24;26;26;34;34;19;19;19;29;13;15;36;47;17;33;30;20;23;22;22;26;31;20;33;22;32;46;20;31;20;26;19;26;34;37;29;15;33;17;16;16;20;41;26;20;38;20;26;22;24;20;23;26;28;15;35;11;20;34;30;19;14;22;22;31;26;20;18;17;27;21;19;18;21;19;28;22;22;32;21;23;21;21;22;27;31;31;22;46;31;21;30;30;21;16;19;19;18;36;29;23;29;46;41;22;17;22;22;27;28;23;29;25;21;18;19;26;17;37;22;24;19;24;19;20;22;25;19;18;19;15
"Concrete_Cast Insitu_150mm";21;23;26;22;24;14;17;17;18;17;17;0;23;18;20;29;25;26;34;44;16;27;17;15;30;12;22;26;12;12;12;29;24;24;20;21;23;20;12;20;27;44;19;17;20;19;29;37;23;44;17;19;25;31;27;22;26;21;26;16;15;15;16;22;19;25;17;16;17;17;12;16;20;27;16;21;12;44;43;14;38;29;26;18;26;30;14;15;30;34;30;27;19;26;27;26;31;19;27;14;24;15;24;28;28;16;21;22;25;25;22;30;32;16;16;16;25;26;15;37;45;14;29;27;19;20;20;20;23;28;19;29;20;29;41;19;27;15;26;16;22;31;34;26;15;19;17;19;19;21;40;26;18;36;17;26;21;23;20;20;21;23;15;34;16;19;30;27;18;18;19;20;28;26;17;18;0;26;18;18;21;19;18;23;19;23;30;20;20;19;21;19;24;28;28;19;42;28;18;26;30;19;11;16;19;16;36;29;24;27;43;38;23;0;23;19;27;28;22;27;21;20;16;16;25;0;31;23;22;16;26;19;21;23;24;16;17;16;11
"Glazing_Residential Facade_East_300mm";5;0;7;25;6;26;18;19;18;26;26;23;0;19;25;32;28;29;35;41;27;29;20;27;30;26;26;20;26;26;26;24;28;28;27;24;28;25;26;27;28;41;26;28;27;25;30;37;27;41;24;25;28;30;31;27;31;28;27;26;28;25;26;27;26;28;27;28;25;26;26;26;25;30;24;26;25;46;44;25;40;29;28;28;27;27;25;24;29;35;32;29;27;28;29;28;30;26;29;25;24;26;25;30;30;26;26;27;23;25;27;29;34;28;28;26;27;28;25;36;44;24;28;29;24;24;25;26;28;30;24;28;26;31;42;24;29;27;24;28;27;30;35;28;25;30;26;24;24;25;39;29;29;36;25;29;24;28;25;26;27;25;25;35;26;21;29;28;24;28;27;26;30;28;28;27;23;29;24;29;29;26;27;28;27;28;28;27;25;26;27;27;29;30;30;27;43;30;24;26;31;26;25;28;26;27;36;30;27;28;43;36;28;23;28;27;29;30;29;31;27;24;26;28;27;23;33;28;29;28;27;26;27;28;27;25;26;28;25
"Glazing_6.0mm Centre";14;19;22;22;21;14;12;9;7;20;17;18;19;0;21;33;29;30;38;43;18;31;17;15;33;13;25;21;13;13;13;27;27;29;22;23;26;21;13;22;30;43;20;19;22;18;33;41;26;43;17;19;29;33;31;25;31;22;29;16;18;17;15;25;16;27;16;18;14;13;13;15;22;29;16;23;19;47;44;17;39;27;26;18;29;29;17;20;32;36;33;29;21;29;29;23;33;20;30;17;27;17;26;30;30;15;22;25;25;22;25;32;33;18;18;18;28;23;13;40;49;16;31;29;18;23;21;21;26;30;18;31;21;31;45;20;29;15;13;18;25;33;36;30;13;33;13;16;16;20;41;24;16;38;16;24;19;24;20;21;25;24;13;33;14;21;32;27;19;14;21;21;30;25;19;15;18;27;19;16;20;20;17;25;21;22;21;18;20;20;21;21;27;30;30;21;46;30;19;28;31;20;15;19;21;18;40;31;22;29;46;38;25;18;22;21;29;30;25;30;26;20;17;18;25;18;34;25;25;18;26;21;20;25;24;17;17;18;14
"L8c - STUD LINING IMPACT";21;25;30;20;27;19;22;21;19;22;21;20;25;21;0;30;16;16;29;42;13;23;20;22;21;22;17;24;22;22;22;31;14;15;13;7;22;1;22;13;23;42;19;15;13;8;20;29;18;42;20;12;26;21;27;5;26;18;22;14;13;20;10;6;19;25;21;13;19;22;22;9;23;29;21;24;21;42;42;21;35;27;27;19;26;28;21;22;21;35;31;22;20;17;23;24;22;19;17;21;28;13;23;24;24;9;24;22;26;12;6;21;34;14;14;15;16;24;21;35;44;20;20;23;7;6;1;12;19;24;7;20;12;25;42;11;22;19;26;14;6;21;35;27;21;31;21;21;21;22;39;27;22;35;21;27;23;24;23;23;23;25;21;36;20;19;21;29;18;23;20;12;24;27;15;22;20;26;21;22;22;19;20;27;20;22;27;18;17;19;23;20;20;24;24;20;41;24;21;30;28;19;22;14;19;13;35;27;25;25;42;37;22;20;22;20;27;28;20;26;23;12;14;14;25;20;33;22;20;14;24;19;19;22;24;15;18;14;21
"PF10c/F120 - FIRE RATED STUD PARTITION";32;32;32;28;32;33;31;33;33;32;32;29;32;33;30;0;27;30;31;43;25;29;32;33;27;33;29;32;33;33;33;28;28;26;27;32;17;31;33;27;29;43;17;26;27;28;25;32;30;42;29;31;27;29;11;29;10;25;28;28;24;23;26;30;32;30;34;26;32;35;33;27;28;32;31;29;29;40;40;30;40;32;27;31;31;28;30;29;29;5;1;26;18;30;29;31;28;18;31;30;26;27;15;29;28;27;31;17;31;32;30;28;36;27;27;19;30;31;31;37;45;28;28;30;31;31;31;30;30;30;31;29;30;30;17;30;27;34;33;27;30;30;5;27;31;33;32;29;29;29;40;32;36;37;33;32;32;28;28;33;21;34;31;35;33;29;29;30;26;36;17;30;29;33;26;31;29;16;32;35;28;18;30;33;18;29;31;31;31;19;31;17;32;29;30;18;17;29;32;33;30;17;32;26;27;27;32;24;29;31;43;40;31;29;29;18;32;32;24;25;20;31;28;27;30;29;37;31;24;27;30;27;28;31;30;19;29;27;32
"P10d - STUD PARTITION IMPACT / FC";28;28;32;26;30;26;29;29;29;29;30;25;28;29;16;27;0;9;20;44;25;18;28;30;11;30;13;30;30;30;30;33;23;1;21;21;23;15;30;21;17;44;17;25;21;16;6;21;14;44;28;22;29;12;31;20;31;26;16;24;25;21;20;20;27;29;30;26;26;31;30;21;26;27;26;29;27;43;40;28;36;30;32;27;30;31;28;28;11;30;26;13;17;7;16;30;10;17;8;28;29;24;27;15;15;22;28;21;28;22;20;11;34;25;26;13;5;30;28;36;43;27;9;16;20;21;16;24;12;17;21;9;25;16;39;24;13;29;29;26;19;12;30;29;28;32;28;26;26;29;40;30;31;34;29;30;28;29;29;26;27;30;28;38;30;26;11;32;25;30;17;25;15;31;26;27;25;25;28;31;28;17;26;31;18;28;30;27;26;18;24;18;13;16;17;18;32;16;28;31;29;17;29;25;24;25;33;28;27;27;42;39;27;25;28;17;29;29;30;29;27;24;24;25;28;25;36;27;29;25;27;24;27;26;28;14;26;26;30
